Var1_ 1	Var1_ 2	Var1_ 3	Var1_ 4	Var1_ 5	Var1_ 6	Var1_ 7	Var1_ 8	Var1_ 9	Var1_10	Var1_11	Var1_12	Var1_13	Var1_14	Var1_15	Var1_16	Var1_17	Var1_18	Var1_19	Var1_20	Var1_21	Var1_22	Var1_23	Var1_24	Var1_25	Var1_26	Var1_27	Var1_28	Var1_29	Var1_30	Var1_31
-12.6018553069925	-12.6018553069925	-12.2152908691213	-10.714885300158	-10.3155735338836	-9.43874496248784	-12.6018553069925	-12.4363247704987	-13.0589911879186	-14.1940082594876	-13.3954295818939	-12.6018553069925	-12.5954111394289	-12.5114155994614	-12.5114155994614	-12.5115923019596	-12.5935022759582	-12.5114155994614	-12.4395171116387	-13.0835248377788	-13.1551331370553	-13.1551331370553	-13.1610954569834	-13.1551331370553	-12.5114155994614	-12.6968769401005	-12.2582596960838	-11.1225525259825	-11.1225525259825	-10.8338971502897	-11.1225525259825
-12.3022208087356	-12.3022208087356	-11.9099009227297	-10.4362951333235	-10.1519476578834	-9.2721509239634	-12.3022208087356	-12.1427507151561	-12.8868532463834	-14.1611468771104	-13.3905320099025	-12.3022208087356	-12.3083976691414	-12.2333638087548	-12.2333638087548	-12.235045834831	-12.3317865714756	-12.2333638087548	-12.1636904245546	-12.7815931300088	-12.8492446941019	-12.8492446941019	-12.8594605126243	-12.8492446941019	-12.2333638087548	-12.4152971944637	-11.9614028168734	-10.8341857855222	-10.8341857855222	-10.545204445699	-10.8341857855222
-11.9872001027862	-11.9872001027862	-11.5985442874028	-10.1296188950163	-10.093262829992	-9.21764196908615	-11.9872001027862	-11.8292914964549	-12.6593734663271	-14.1123078420277	-13.3809357171136	-11.9872001027862	-12.0035821892211	-11.9410324575808	-11.9410324575808	-11.949404597762	-12.061991635761	-11.9410324575808	-11.8613703933123	-12.4526422492603	-12.498758978335	-12.498758978335	-12.5055193564601	-12.498758978335	-11.9410324575808	-12.1389783252077	-11.6868953869367	-10.584608637089	-10.584608637089	-10.2952306244124	-10.584608637089
-11.6854638802826	-11.6854638802826	-11.3008876267875	-9.82390940949632	-10.0042876872268	-9.13930824845395	-11.6854638802826	-11.521582820553	-12.3015584422304	-14.0040866710195	-13.3559356549854	-11.6854638802826	-11.7052745493475	-11.6486001875958	-11.6486001875958	-11.6613952942223	-11.7907987210039	-11.6486001875958	-11.5763035749975	-12.107930782802	-12.1320360787167	-12.1320360787167	-12.1486505564487	-12.1320360787167	-11.6486001875958	-11.8451486033508	-11.4213944368752	-10.3695501439256	-10.3695501439256	-10.0811746176106	-10.3695501439256
-11.398400072331	-11.398400072331	-11.0156631042834	-9.59921695078207	-9.96836622656344	-9.11159224244035	-11.398400072331	-11.2211788695722	-11.7863509405302	-13.7787176768391	-13.2960552627309	-11.398400072331	-11.4195480762903	-11.3657229599062	-11.3657229599062	-11.3790402967732	-11.5205656396315	-11.3657229599062	-11.3005668390864	-11.7576677381226	-11.7364805597555	-11.7364805597555	-11.7450079464285	-11.7364805597555	-11.3657229599062	-11.5613938558893	-11.1907014092277	-10.2096595237378	-10.2096595237378	-9.92515064652975	-10.2096595237378
-11.1204569545064	-11.1204569545064	-10.7299656765831	-9.42477512641569	-9.95530422938723	-9.1022464823906	-11.1204569545064	-10.9494864121114	-11.2400516962946	-13.4240940335444	-13.1830564099619	-11.1204569545064	-11.1437736668572	-11.0943400163803	-11.0943400163803	-11.1061055621805	-11.2554323086081	-11.0943400163803	-11.024701701711	-11.4093222403686	-11.310846940353	-11.310846940353	-11.2961938186693	-11.310846940353	-11.0943400163803	-11.2993283949747	-10.9756342620172	-10.0803368289206	-10.0803368289206	-9.8018079153521	-10.0803368289206
-10.8692810794456	-10.8692810794456	-10.4748214749396	-9.32698926186331	-9.95231007531204	-9.10015827495757	-10.8692810794456	-10.6925099537861	-10.6527473911091	-12.9935067829647	-12.9630606103671	-10.8692810794456	-10.8869998036199	-10.8327464750742	-10.8327464750742	-10.8461050116065	-11.0016564093698	-10.8327464750742	-10.7412389987029	-11.0654227511312	-10.8612660995216	-10.8612660995216	-10.8007665722667	-10.8612660995216	-10.8327464750742	-11.0609845161835	-10.7795503608834	-9.98792537443445	-9.98792537443445	-9.72974637458479	-9.98792537443445
-10.625124170265	-10.625124170265	-10.2348587832302	-9.23703723081349	-9.94205414444455	-9.09101441386504	-10.625124170265	-10.4344263709351	-10.0614180862178	-12.4781157522868	-12.4569508706436	-10.625124170265	-10.64459400671	-10.5870152379987	-10.5870152379987	-10.6012884803262	-10.7544735776179	-10.5870152379987	-10.4832868297652	-10.7480682869231	-10.4193289594699	-10.4193289594699	-10.3074662489751	-10.4193289594699	-10.5870152379987	-10.8219153107988	-10.6045927928706	-9.90092857292626	-9.90092857292626	-9.67168675401446	-9.90092857292626
-10.3715293295619	-10.3715293295619	-9.98119302915458	-9.15054320735328	-9.93939505040345	-9.09138810500946	-10.3715293295619	-10.1758947805466	-9.50796448435101	-11.9153077610929	-11.7991776687102	-10.3715293295619	-10.3966709358459	-10.3428638413661	-10.3428638413661	-10.3514884510505	-10.5048204752569	-10.3428638413661	-10.2370077061415	-10.4417103054053	-9.98121267801587	-9.98121267801587	-9.83253420941401	-9.98121267801587	-10.3428638413661	-10.5800570141903	-10.4460862611408	-9.8370854381411	-9.8370854381411	-9.63124143736622	-9.8370854381411
-10.1263413858452	-10.1263413858452	-9.75997322136725	-9.07751049668537	-9.93396515220752	-9.08835551774611	-10.1263413858452	-9.90128871996812	-8.97290928623294	-11.3070375326802	-11.066761821204	-10.1263413858452	-10.1542558823107	-10.1021098714431	-10.1021098714431	-10.1100042003966	-10.2601725665193	-10.1021098714431	-9.99220069565243	-10.1439081771983	-9.53488556321952	-9.53488556321952	-9.34790555488452	-9.53488556321952	-10.1021098714431	-10.3437727255491	-10.3262034974225	-9.79635321813704	-9.79635321813704	-9.60078056569094	-9.79635321813704
-9.890908615047	-9.890908615047	-9.54916291190037	-8.98199535977911	-9.90531397537606	-9.06130718861635	-9.890908615047	-9.64101724745041	-8.48632961517929	-10.6602281265578	-10.2679316012492	-9.890908615047	-9.91379847523192	-9.85782155050094	-9.85782155050094	-9.87315885617179	-10.0187346018032	-9.85782155050094	-9.76770318958656	-9.85883712746005	-9.109286267677	-9.109286267677	-8.89119388183165	-9.109286267677	-9.85782155050094	-10.0804576991438	-10.1915609122563	-9.74536730166164	-9.74536730166164	-9.55423516662475	-9.74536730166164
-9.64710860243665	-9.64710860243665	-9.32318372698255	-8.88384632990859	-9.90071504915822	-9.05914798689696	-9.64710860243665	-9.37902792014992	-8.04712499289402	-9.94778432475584	-9.39224803244949	-9.64710860243665	-9.67218028494405	-9.61686974755046	-9.61686974755046	-9.62580707188627	-9.76903019128737	-9.61686974755046	-9.54010444561569	-9.59129113059848	-8.71899268517541	-8.71899268517541	-8.47793375069729	-8.71899268517541	-9.61686974755046	-9.82496991829101	-10.0688165117614	-9.70192214876466	-9.70192214876466	-9.53363522554722	-9.70192214876466
-9.4019603138945	-9.4019603138945	-9.09596156167395	-8.80046824234486	-9.89073643840739	-9.05152593548487	-9.4019603138945	-9.1186217193229	-7.67291477508021	-9.18756178546955	-8.49534897528408	-9.4019603138945	-9.42677123795902	-9.36888704081481	-9.36888704081481	-9.38422114396242	-9.52531210958486	-9.36888704081481	-9.30039291258467	-9.3132757723003	-8.33730926973583	-8.33730926973583	-8.08316511020389	-8.33730926973583	-9.36888704081481	-9.56443763762905	-9.94314047842802	-9.64897648722461	-9.64897648722461	-9.48479796869177	-9.64897648722461
-9.15419478383766	-9.15419478383766	-8.87425218303675	-8.76329634528274	-9.8731144392758	-9.03960028254079	-9.15419478383766	-8.86168273966356	-7.34599718387642	-8.35877960578583	-7.56110985988344	-9.15419478383766	-9.17509780739709	-9.11644572096688	-9.11644572096688	-9.1289811350945	-9.26818432699766	-9.11644572096688	-9.05216378325407	-9.04245388245716	-7.9866097764343	-7.9866097764343	-7.72642430133934	-7.9866097764343	-9.11644572096688	-9.3074496316288	-9.78466301191403	-9.5800831285717	-9.5800831285717	-9.43677524182416	-9.5800831285717
-8.89048787364592	-8.89048787364592	-8.62702400657424	-8.732159122368	-9.85206536261585	-9.02374291917359	-8.89048787364592	-8.58764428969155	-7.06192718178228	-7.51698530189164	-6.65779485586736	-8.89048787364592	-8.91155719407622	-8.85343794550156	-8.85343794550156	-8.86764250382888	-9.00937423560124	-8.85343794550156	-8.79249769452976	-8.78254742810522	-7.66452998571096	-7.66452998571096	-7.40255980275418	-7.66452998571096	-8.85343794550156	-9.04045614342876	-9.59728918413364	-9.48377264531381	-9.48377264531381	-9.36280526376318	-9.48377264531381
-8.62773268764135	-8.62773268764135	-8.37927483738079	-8.70548207146888	-9.84096289379409	-9.01959389339209	-8.62773268764135	-8.31499439648747	-6.78266255670771	-6.75817732063905	-5.87301893878041	-8.62773268764135	-8.64723750230332	-8.5879720604941	-8.5879720604941	-8.60204959094757	-8.74610860058715	-8.5879720604941	-8.53665896981488	-8.51895860369876	-7.36320319039693	-7.36320319039693	-7.10166983814395	-7.36320319039693	-8.5879720604941	-8.76461446009473	-9.38998865643693	-9.36037398423494	-9.36037398423494	-9.26790936471116	-9.36037398423494
-8.35288267342496	-8.35288267342496	-8.11728837677504	-8.70200810993413	-9.81772545932805	-9.00918170556799	-8.35288267342496	-8.02690823487601	-6.46235682979619	-6.14801847692282	-5.26221942340792	-8.35288267342496	-8.37655100294982	-8.32030150006361	-8.32030150006361	-8.33467219952608	-8.48004563511905	-8.32030150006361	-8.27084847140149	-8.25295366184558	-7.07851336400938	-7.07851336400938	-6.81727420146025	-7.07851336400938	-8.32030150006361	-8.49514963003444	-9.16232955595825	-9.20874209399928	-9.20874209399928	-9.14370217426234	-9.20874209399928
